680.10	592.74
680.13	525.00
680.17	532.68
680.20	544.47
680.23	579.37
680.26	580.84
680.30	573.42
680.33	575.63
680.36	585.37
680.39	590.26
680.43	576.79
680.46	580.21
680.49	582.68
680.52	588.11
680.56	583.95
680.59	584.74
680.62	582.58
680.65	599.26
680.69	606.37
680.72	597.05
680.75	599.53
680.78	606.84
680.82	607.16
680.85	603.32
680.88	610.32
680.91	602.42
680.95	605.32
680.98	610.63
681.01	601.37
681.04	611.26
681.08	604.26
681.11	597.74
681.14	619.00
681.17	603.79
681.21	599.11
681.24	611.16
681.27	615.47
681.30	600.16
681.34	609.74
681.37	606.79
681.40	603.42
681.43	615.95
681.47	609.79
681.50	600.21
681.53	604.26
681.56	614.63
681.59	614.53
681.63	612.32
681.66	594.95
681.69	602.37
681.72	604.47
681.76	603.42
681.79	604.21
681.82	598.89
681.85	603.21
681.89	611.95
681.92	607.89
681.95	609.16
681.98	610.47
682.02	605.63
682.05	609.63
682.08	606.53
682.11	602.21
682.14	594.16
682.18	608.00
682.21	605.68
682.24	604.79
682.27	606.74
682.31	606.00
682.34	599.21
682.37	616.63
682.40	605.32
682.44	615.42
682.47	615.89
682.50	611.21
682.53	612.11
682.57	612.26
682.60	616.63
682.63	605.42
682.66	618.79
682.69	608.53
682.73	618.74
682.76	614.89
682.79	620.79
682.82	617.21
682.86	608.68
682.89	613.26
682.92	601.00
682.95	608.95
682.98	610.58
683.02	603.53
683.05	615.58
683.08	613.89
683.11	612.16
683.15	612.63
683.18	608.11
683.21	611.79
683.24	608.89
683.28	603.68
683.31	612.05
683.34	614.16
683.37	612.42
683.40	621.21
683.44	612.79
683.47	605.53
683.50	605.79
683.53	612.95
683.57	617.95
683.60	614.26
683.63	605.11
683.66	622.05
683.69	605.84
683.73	610.84
683.76	600.00
683.79	604.42
683.82	605.89
683.85	602.95
683.89	607.05
683.92	604.42
683.95	599.74
683.98	611.37
684.02	612.47
684.05	609.74
684.08	614.11
684.11	610.05
684.14	600.32
684.18	613.79
684.21	619.68
684.24	614.79
684.27	612.05
684.31	614.84
684.34	604.11
684.37	598.21
684.40	610.89
684.43	608.47
684.47	623.11
684.50	621.63
684.53	611.53
684.56	607.16
684.59	597.84
684.63	603.89
684.66	616.53
684.69	604.32
684.72	608.42
684.76	604.26
684.79	602.95
684.82	596.53
684.85	604.11
684.88	619.89
684.92	600.89
684.95	612.37
684.98	606.84
685.01	612.21
685.04	616.84
685.08	605.68
685.11	611.84
685.14	610.74
685.17	617.47
685.20	608.53
685.24	603.00
685.27	607.47
685.30	612.42
685.33	606.05
685.37	609.05
685.40	606.16
685.43	615.53
685.46	619.84
685.49	613.89
685.53	613.21
685.56	604.11
685.59	605.47
685.62	609.63
685.65	611.79
685.69	613.53
685.72	604.37
685.75	609.84
685.78	601.32
685.81	610.42
685.85	612.79
685.88	610.11
685.91	610.26
685.94	604.37
685.97	606.21
686.01	607.05
686.04	609.16
686.07	614.21
686.10	610.47
